Commodities,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Rice,27.9175,27.51083,27.29,28.99,30.04583,31.7767,34.1825,36.08,36.82,40.02,44.04
Wheat,21.64833333,22.75916667,23.57,23.9075,24.23083,26.7583,28.5442,27.24,30,32.34,33.68
Atta (Wheat),23.623,24.68583333,25.135,26.24416667,26.35417,28.4967,30.8817,30.79,34,37.47,38.75
Gram Dal,47.26333333,58.61917,89.37,87.5425,66.99,66.095,68.4467,75.23,73.7,75.35,85.27
Tur/Arhar Dal,71.79333333,106.665,132.2458333,84.26666667,71.05,80.755,95.3208,105.57,106.02,130.68,155.54
Urad DaI,72.2,102.4908333,137.0641667,92.59166667,70.8,76.4433,101.3683,108.25,106.11,113.44,125.35
Moong DaI,87.8,101.7608333,94.98583333,77.63166667,73.44,80.505,104.1517,104.97,102.58,106.38,117.2
Masoor Dal,66.914,81,82.71841667,70.45,61.39,62.8342,75.7808,88.13,96.51,93.25,92.92
Groundnut Oil (Packed),120.383,121.37,130.6633333,131.06,125.53,128.9792,123.4192,174.51,189.94,191.18,188.49
Mustard Oil (Packed),97.47428571,103.85,109.4316667,106.9983333,105.14,109.7125,93.1067,162.76,181.49,158.29,146.06
Vanaspati (Packed),76.71875,74.69,74.23916667,77.70833333,80.4375,80.765,92.24083333,130.51,150.29,133.75,125.07
Soya Oil (Packed),84.17833333,83.3,82.47666667,85.2225,89.6292,92.375,102.6708333,143.63,159.78,146.39,126.46
Sunflower Oil (Packed),95.35333333,94.06,95.15166667,93.13909091,96.0833,99.9817,114.1683333,161.47,177.9,156.84,137.48
Palm Oil (Packed),69.142,64.42,68.31916667,70.38416667,77.1708,76.5375,92.12916667,124.95,138.93,114.21,104.24
Potato,26.08,16.16,19.05,14.92,19.9083,18.9617,31.23916667,21.12,25.23,23.8,27.01
Onion,23.41166667,31.7,16.9125,22.26833333,21.0633,29.675,36.15916667,33.07,28,29.56,37.14
Tomato,25.098,25.55,25.74416667,31.80333333,22.8483,30.5367,33.61833333,29.37,36.71,29.67,41.47
Sugar,35.5875,30.51,38.87636364,42.61583333,38.815,38.2925,39.8825,40.37,41.46,42.36,44.42
Gur,40.6575,40.35,41.87166667,44.481,43.1958,43.8975,47.88166667,47.45,48.76,51.06,53.27
Milk,36.83833333,39.09,39.93916667,41.53818182,42.3083,43.755,46.431,48.65,52.19,56.43,58.46
Tea Loose,205.6466667,205.83,199.1333333,202.71,209.575,212.6408,226.1175,278.3,282.16,276.35,276.24
Salt Pack (lodised),14.52,14.83,14.99083333,15.11069231,15.2275,15.3625,16.2542,18.14,20.11,22.29,22.23
